x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
13968.0,316.0,0.022623138602520045,2.2747076208346,159.0,185.0,329.0,734.0,688.0,740.0,599.0,749.0,576.0,832.0,675.0,663.0,614.0,602.0,823.0,649.0,706.0,650.0,779.0,730.0,698.0,788.0
13926.0,260.0,0.018670113456843315,2.26464591719054,167.0,207.0,380.0,798.0,686.0,670.0,746.0,654.0,703.0,644.0,696.0,691.0,701.0,753.0,592.0,665.0,686.0,785.0,593.0,730.0,655.0,724.0
13628.0,298.0,0.02186674493689463,2.25892440465657,175.0,228.0,353.0,735.0,661.0,667.0,710.0,598.0,718.0,626.0,649.0,658.0,638.0,727.0,616.0,658.0,746.0,699.0,533.0,793.0,689.0,751.0
14272.0,305.0,0.021370515695067264,2.24698967514122,145.0,182.0,312.0,712.0,691.0,843.0,744.0,833.0,703.0,744.0,683.0,759.0,692.0,759.0,733.0,523.0,751.0,688.0,680.0,685.0,696.0,714.0
14018.0,335.0,0.023897845627050933,2.23790963768165,133.0,209.0,302.0,729.0,742.0,685.0,662.0,891.0,669.0,591.0,1012.0,535.0,636.0,675.0,704.0,682.0,663.0,605.0,710.0,689.0,707.0,787.0
14117.0,318.0,0.022526032443153644,2.2287565706951,178.0,214.0,398.0,811.0,826.0,690.0,660.0,833.0,892.0,487.0,842.0,499.0,748.0,742.0,648.0,682.0,612.0,626.0,608.0,714.0,645.0,762.0
13593.0,311.0,0.022879423232546162,2.22987413727975,164.0,219.0,367.0,728.0,716.0,734.0,630.0,725.0,795.0,455.0,782.0,536.0,738.0,665.0,639.0,683.0,587.0,692.0,599.0,748.0,670.0,721.0
13976.0,319.0,0.0228248425872925,2.21734342116183,149.0,191.0,338.0,767.0,740.0,792.0,910.0,576.0,815.0,520.0,848.0,558.0,675.0,848.0,506.0,686.0,693.0,721.0,620.0,674.0,596.0,753.0
13809.0,334.0,0.024187124339199072,2.21136213379126,130.0,213.0,309.0,740.0,675.0,829.0,817.0,576.0,785.0,620.0,746.0,584.0,635.0,794.0,556.0,691.0,612.0,720.0,632.0,687.0,673.0,785.0
14082.0,366.0,0.025990626331487004,2.20095034138347,173.0,227.0,372.0,755.0,738.0,807.0,856.0,638.0,697.0,650.0,883.0,569.0,652.0,743.0,615.0,804.0,476.0,659.0,721.0,618.0,695.0,734.0
13669.0,344.0,0.025166434998902625,2.19097750498018,151.0,241.0,374.0,707.0,873.0,724.0,650.0,598.0,762.0,506.0,735.0,710.0,594.0,749.0,569.0,798.0,556.0,742.0,566.0,707.0,633.0,724.0
13978.0,356.0,0.025468593504077836,2.18362041855186,129.0,164.0,335.0,816.0,864.0,823.0,733.0,568.0,831.0,676.0,680.0,632.0,596.0,702.0,676.0,760.0,518.0,720.0,551.0,684.0,758.0,762.0
13860.0,393.0,0.028354978354978355,2.17912370099895,144.0,199.0,359.0,700.0,916.0,742.0,749.0,579.0,823.0,667.0,662.0,717.0,750.0,521.0,663.0,745.0,514.0,713.0,615.0,588.0,656.0,838.0
13991.0,394.0,0.028160960617539848,2.17688357697537,154.0,233.0,340.0,739.0,907.0,726.0,812.0,541.0,863.0,663.0,632.0,660.0,720.0,603.0,593.0,772.0,508.0,760.0,677.0,558.0,689.0,841.0
13562.0,344.0,0.025364990414393156,2.16774618523455,153.0,252.0,327.0,762.0,802.0,664.0,742.0,489.0,810.0,638.0,668.0,681.0,758.0,502.0,668.0,729.0,473.0,729.0,698.0,557.0,745.0,715.0
