"year","Lli_ty","networth","debt","income","educ","rent","nstocks","age","anypoor","cluster","A"
"13445",2007,0.50498632208335,0.787989263530049,0,0.601633125540835,0.850274158936154,0,0.270601087339647,0.768694811103039,0,2,1
"13446",2007,0.459439972899533,0.753654310280316,0.703946774348302,0.61968440236766,0.947157200179326,0,0,0.239374913899581,0,1,1
"13448",2007,0.442533071881969,0.765424813553445,0.696096036438736,0.612712663090385,0.850274158936154,0,0,0.427892573021986,0,1,1
"13449",2007,0.413631613625869,0.687100130022341,0.670974932063559,0.577933229494347,0.811367753590791,0,0,0.321806259485764,0,1,1
"13451",2007,0.489314458819353,0.793511787578546,0.68426956209755,0.647442982289132,1,0,0.362142959789231,0.584835981506881,0,2,1
"13452",2007,0.495960624434941,0.883122881627657,0,0.761910581022272,0.850274158936154,0,0.620846100452946,0.730099755430655,0,2,1
"13453",2007,0.439575621411911,0.821738515369014,0.741939220873466,0.680455402393731,0.947157200179326,0,0,0.633277991890224,0,1,1
"13454",2007,0.484414259522915,0.749197769207897,0.744435315070346,0.658663188393423,0.947157200179326,0,0,0.678193712917948,0,1,1
"13455",2007,0.512009736577127,0.807288917679622,0.701905479730048,0.664907214206392,0.974523053676275,0,0.518619077424475,0.699482740692618,0,2,1
"13456",2007,0.466469825425107,0.777831573964263,0.424639560439907,0.599882231313323,0.811367753590791,0,0,0.730099755430655,0,1,1
"13457",2007,0.493212825340649,0.78308917619989,0.684766703790098,0.630935770164222,0.850274158936154,0,0,0.688929920072318,0,1,1
"13458",2007,0.436027949100447,0.704622140084412,0.658779002873408,0.590831309039903,0.850274158936154,0,0,0.678193712917948,0,1,1
"13459",2007,0.528069449557352,0.801569103303015,0.610463672832536,0.637364469878281,0.974523053676275,0,0.362142959789231,0.709858061987003,0,2,1
"13461",2007,0.51681465771624,0.779161949239979,0.71752301096715,0.677898767574051,0.947157200179326,0,0,0.55911064687613,0,1,1
"13462",2007,0.462705618941126,0.79081060006562,0.685567691217812,0.659505714169044,0.974523053676275,0,0,0.545834550942895,0,1,1
"13463",2007,0.499480028490764,0.80653065119331,0,0.590016694114886,0.947157200179326,0,0,0.953261748806957,0,2,1
"13468",2007,0.482976488278671,0.800651222566376,0.747569463698079,0.643392957127228,0.974523053676275,0,0,0.678193712917948,0,1,1
"13469",2007,0.478359864627927,0.85914129939682,0.726702395241215,0.734160353785106,0.974523053676275,0,0,0.572107397082035,0,1,1
"13470",2007,0.559811171069798,0.787090361248459,0.472540559152797,0.592679899326408,0.718564997310192,0,0.362142959789231,0.805018002346641,0,2,1
"13472",2007,0.482526213052529,0.82446412922137,0.720409781716367,0.67898065408862,0.947157200179326,0,0.270601087339647,0.621519176679091,0,1,1
"13473",2007,0.417888023823131,0.834156418685046,0.839905466789058,0.68168432970715,1,0,0.518619077424475,0.532266596665309,0,2,1
"13475",2007,0.796354829290768,0.718109473935101,0,0.553098112189904,0.811367753590791,0.69232871878794,0,0.633277991890224,0,3,2
"13476",2007,0.522198836571627,0.765106204031738,0,0.581333612973612,0.811367753590791,0,0.362142959789231,0.887449513510554,0,2,1
"13477",2007,0.53266505734161,0.926138359768563,0,0.825458272783879,0.947157200179326,0,0.536947666382918,0.749698860104039,0,2,1
"13478",2007,0.473671990637068,0.682298739719044,0.719117346362503,0.567764709990089,0.917599920745785,0,0,0.193626596758032,0,2,1
"13479",2007,0.461704594897248,0.878085370334704,0.765487314979662,0.761376798323453,0.947157200179326,0,0.885127231787687,0.572107397082035,0,2,1
"13480",2007,0.212118871166549,0.740473928003558,0.640237932852144,0.554267075288608,0.405683901556835,0,0,0.678193712917948,0,2,1
"13481",2007,0.488588971214051,0.741624418258516,0.720727809993522,0.641746499431624,0.947157200179326,0,0.362142959789231,0.239374913899581,0,2,1
"13482",2007,0.524570524587745,0.767251660267782,0.713954384466577,0.632541079896094,0.850274158936154,0,0,0.377125558107333,0,1,1
"13483",2007,0.506789767707228,0.783783538604404,0.565899294843296,0.612541805736975,0.850274158936154,0.699736058727016,0,0.644817064757229,0,4,3
"13484",2007,0.48053612803462,0.788024269316679,0.641543358190007,0.638373464871927,0.850274158936154,0,0,0.55911064687613,0,1,1
"13485",2007,0.513534887813285,0.85407223475042,0.776455311219993,0.659762000988315,0.850274158936154,0,0,0.532266596665309,0,1,1
"13486",2007,0.467603355710802,0.797555091469243,0.735276179302823,0.642485250070186,0.850274158936154,0,0,0.709858061987003,0,1,1
"13487",2007,0.451024203884403,0.843173617986053,0,0.698011736909558,1,0,0.593805306006329,0.749698860104039,0,2,1
"13491",2007,0.505360116820643,0.797772657442547,0,0.648666678738171,1,0,0,0.768694811103039,0,2,1
"13492",2007,0.42999149435064,0.770816545626595,0,0.563196949477885,0.947157200179326,0,0,0.667267344340745,0,2,1
"13493",2007,0.51895615022417,0.796522169436328,0.692627745188582,0.66039678538717,0.974523053676275,0,0,0.584835981506881,0,1,1
"13494",2007,0.554592835032258,0.783807868738202,0.501724125694229,0.665760510218809,0.661641913902581,0,0,0.917568488836087,0,2,1
"13495",2007,0.473219624294187,0.809642693613028,0.703687188465829,0.610798870601074,0.811367753590791,0,0,0.709858061987003,0,1,1
"13496",2007,0.447648518088321,0.792631952553073,0.564355184706658,0.598295903279052,0.974523053676275,0,0,0.699482740692618,0,1,1
"13498",2007,0.475886912171491,0.723147327694882,0.715242261987592,0.629635615802614,0.974523053676275,0,0,0.340802219683527,0,1,1
"13499",2007,0.442555047648329,0.910457689510739,0.884353595176217,0.89945010503233,0.974523053676275,0,0.518619077424475,0.411429731313707,0,2,1
"13500",2007,0.558220356643751,0.702346651222247,0.377448521398912,0.598295903279052,0.850274158936154,0.741332069364766,0,0.377125558107333,0,4,3
"13502",2007,0.550764551634673,0.877917472883293,0.767206983544372,0.746288855860077,0.974523053676275,0,0.834483398804711,0.6561443476105,0,2,1
"13503",2007,0.465619798312892,0.786337916474746,0.660484664558664,0.645331385031538,0.947157200179326,0,0,0.518393689604603,0,1,1
"13504",2007,0.462797521903381,0.847558591370957,0.589896452318333,0.711445363233441,0.917599920745785,0,0,0.688929920072318,0,1,1
"13506",2007,0.479494210553,0.815480749039061,0.687149493842795,0.646525320548586,0.850274158936154,0,0,0.518393689604603,0,1,1
"13507",2007,0.517611017070825,0.743821176835302,0.63334336151943,0.620849820442589,0.850274158936154,0,0,0.667267344340745,0,1,1
"13508",2007,0.572025390827463,0.774652948747059,0,0.586228520977029,0.811367753590791,0.696849974160091,0,0.902692672869037,0,3,2
"13509",2007,0.48113187059908,0.842708770710654,0.799318335847841,0.690388474426345,0.947157200179326,0,0.270601087339647,0.72006177116363,0,1,1
"13510",2007,0.449129896374753,0.803697598155765,0.564355184706658,0.61584831954112,0.811367753590791,0,0,0.633277991890224,0,1,1
