"","X","period","earnings","random"
"679100",680070,2001,0.766460775540592,0.390372288180515
"251540",251540,1993,1.36031987651605,0.0956585083622485
"37302",37302,1989.5,1.07782699833582,0.271015614271164
"596568",597365,1999.5,0.508083865861805,0.390372288180515
"388542",388836,1995.5,0.654815158223715,0.740657687187195
"431634",432038,1996.25,0.951808433112174,0.390372288180515
"664070",665023,2000.75,0.543077284554916,0.390372288180515
"165628",165628,1991.5,2.05079313073006,0.644999881507829
"483024",483548,1997.25,0.939928381439283,0.390372288180515
"448216",448654,1996.5,1.43756328488333,0.390372288180515
"482352",482876,1997.25,0.877200720501521,0.390372288180515
"132165",132165,1991,1.38631531451238,0.56740349996835
"283886",283886,1993.5,1.86711213990703,0.178803127724677
"519300",519913,1998,0.671996210063207,0.390372288180515
"702153",703191,2001.5,0.41989164157799,0.390372288180515
"42559",42559,1989.5,1.72120354696761,0.388799372129142
"124683",124683,1991,0.638209315622402,0.493039927445352
"474340",474837,1997,1.50625719951997,0.390372288180515
"237651",237651,1992.75,1.45046468629019,0.759388904785737
"407439",407783,1995.75,1.11131236424074,0.390372288180515
"567911",568607,1998.75,2.59971844477282,0.390372288180515
"196927",196927,1992.25,0.303414542989246,0.347916285740212
"551981",552655,1998.5,1.366146386241,0.390372288180515
"702902",703940,2001.5,0.508999319960348,0.390372288180515
"303019",303050,1994,0.642764380427152,0.188871185528114
"108348",108348,1990.75,0.514363423981684,0.0933859415818006
"80975",80975,1990.25,0.865745112592718,0.913687778403983
"631240",632122,2000,1.3132607619126,0.390372288180515
"444647",445085,1996.5,0.993572761420895,0.390372288180515
"688680",689674,2001.25,0.36757998005553,0.390372288180515
"447200",447638,1996.5,1.2898984677115,0.390372288180515
"185979",185979,1992,0.744693762910917,0.855004406999797
"206982",206982,1992.25,1.34407586296814,0.484376351116225
"291993",291993,1993.75,0.99031569573421,0.61123330402188
"704550",705588,2001.5,0.662340897974469,0.390372288180515
"294395",294395,1993.75,1.22322126901233,0.149274259107187
"355188",355345,1994.75,1.84339970217555,0.960294749820605
"261538",261538,1993.25,0.887684580720994,0.852945256978273
"311328",311359,1994,1.56754645992058,0.415560955414549
"538023",538677,1998.25,1.2625659545246,0.390372288180515
"234671",234671,1992.75,1.1106963912051,0.945069923764095
